,WELL,WELL_HEAD,lat,lon,Drilling Operator,Purpose,Completion Year,Formation,Dataset,probs_str,cluster,plot_size,cluster1_prob,cluster2_prob,cluster3_prob
18,17/11-1,17/11-1,58.21,3.343028,A/S Norske Shell,WILDCAT,1968.0,ZECHSTEIN GP        ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
19,25/11-15,25/11-15,59.18430600000001,2.484394,Norsk Hydro Produksjon AS,WILDCAT,1991.0,STATFJORD GP        ,Train,"['0.0', '1.0', '0.0']",2,74.99999953534576,0.0,1.0,0.0
20,25/11-19 S,25/11-19,59.213467,2.401911,Esso Exploration and Production Norway A/S,APPRAISAL,1995.0,STATFJORD GP        ,Train,"['0.0', '1.0', '0.0']",2,74.99999951908895,0.0,1.0,0.0
21,25/11-5,25/11-5,59.202589,2.365439,Esso Exploration and Production Norway A/S,WILDCAT,1974.0,NO GROUP DEFINED    ,Train,"['0.0', '1.0', '0.0']",2,74.99999969043988,0.0,1.0,0.0
22,25/2-13 T4,25/2-13,59.793803,2.453478,,,,,Train,"['0.0', '1.0', '0.0']",2,74.98948528242518,0.0,1.0,0.0
23,25/2-14,25/2-14,59.764867,2.5897330000000003,Elf Petroleum Norge AS,APPRAISAL,1991.0,STATFJORD GP        ,Train,"['0.0', '1.0', '0.0']",2,74.98348699780769,0.0,1.0,0.0
24,25/2-7,25/2-7,59.905669,2.640519,Elf Petroleum Norge AS,WILDCAT,1982.0,DUNLIN GP           ,Train,"['0.0', '1.0', '0.0']",2,74.84290001905833,0.0,1.0,0.0
25,25/3-1,25/3-1,59.931386,2.772594,Elf Petroleum Norge AS,WILDCAT,1989.0,STATFJORD GP        ,Train,"['0.001', '0.999', '0.0']",2,74.47980094982438,0.001,0.999,0.0
26,25/4-5,25/4-5,59.567986,2.194225,Elf Petroleum Norge AS,APPRAISAL,1981.0,SMITH BANK FM       ,Train,"['0.0', '1.0', '0.0']",2,74.99992540316924,0.0,1.0,0.0
27,25/5-1,25/5-1,59.729775,2.570406,Elf Petroleum Norge AS,WILDCAT,1987.0,NO GROUP DEFINED    ,Train,"['0.0', '1.0', '0.0']",2,74.99122213035642,0.0,1.0,0.0
28,25/5-4,25/5-4,59.609228,2.475575,Elf Petroleum Norge AS,WILDCAT,1991.0,STATFJORD GP        ,Train,"['0.0', '1.0', '0.0']",2,74.99922983395295,0.0,1.0,0.0
29,25/6-1,25/6-1,59.525567,2.800575,Saga Petroleum ASA,WILDCAT,1986.0,BASEMENT            ,Train,"['0.0', '1.0', '0.0']",2,74.99828846548614,0.0,1.0,0.0
30,25/6-2,25/6-2,59.561064,2.8204,Saga Petroleum ASA,WILDCAT,1992.0,DRAKE FM            ,Train,"['0.0', '1.0', '0.0']",2,74.99651843310575,0.0,1.0,0.0
31,25/6-3,25/6-3,59.700842,2.9239,Den norske stats oljeselskap a.s,WILDCAT,1999.0,HARDRÅDE FM         ,Train,"['0.0', '1.0', '0.0']",2,74.93888159878477,0.0,1.0,0.0
32,25/7-2,25/7-2,59.27460799999999,2.207247,Conoco Norway Inc.,WILDCAT,1990.0,SLEIPNER FM         ,Train,"['0.0', '1.0', '0.0']",2,74.9999995406283,0.0,1.0,0.0
33,25/8-5 S,25/8-5,59.457528,2.364486,Esso Exploration and Production Norway A/S,WILDCAT,1994.0,SMITH BANK FM       ,Train,"['0.0', '1.0', '0.0']",2,74.99996811633342,0.0,1.0,0.0
34,25/8-7,25/8-7,59.474564,2.574603,Amerada Hess Norge AS,WILDCAT,1995.0,AMUNDSEN FM         ,Train,"['0.0', '1.0', '0.0']",2,74.99983758499923,0.0,1.0,0.0
35,25/9-1,25/9-1,59.44964399999999,2.709908,Amerada Hess Norge AS,WILDCAT,1995.0,SMITH BANK FM       ,Train,"['0.0', '1.0', '0.0']",2,74.99973925822017,0.0,1.0,0.0
36,26/4-1,26/4-1,59.610511,3.02035,BP Norway Limited U.A.,WILDCAT,1987.0,NO GROUP DEFINED    ,Train,"['0.0', '1.0', '0.0']",2,74.96935436489967,0.0,1.0,0.0
37,29/6-1,29/6-1,60.538317000000006,1.990014,BP Norway Limited U.A.,APPRAISAL,1982.0,LUNDE FM            ,Train,"['0.0', '0.016', '0.984']",3,69.1601732065643,0.0,0.016,0.984
38,30/3-3,30/3-3,60.76984399999999,2.95155,Den norske stats oljeselskap a.s,WILDCAT,1983.0,STATFJORD GP        ,Train,"['0.895', '0.098', '0.007']",1,43.02739185571945,0.895,0.098,0.007
39,30/3-5 S,30/3-5,60.78272800000001,2.897972,Den norske stats oljeselskap a.s,WILDCAT,1992.0,STATFJORD GP        ,Train,"['0.857', '0.125', '0.018']",1,34.60765556636206,0.857,0.125,0.018
40,30/6-5,30/6-5,60.68905600000001,2.953081,Den norske stats oljeselskap a.s,WILDCAT,1981.0,LUNDE FM            ,Train,"['0.851', '0.146', '0.003']",1,33.388190249782575,0.851,0.146,0.003
41,31/2-1,31/2-1,60.77198900000001,3.554408,A/S Norske Shell,WILDCAT,1979.0,HEGRE GP            ,Train,"['0.998', '0.002', '0.0']",1,74.43705375928296,0.998,0.002,0.0
42,31/2-19 S,31/2-19,60.910417,3.371478,Norsk Hydro Produksjon AS,WILDCAT,1996.0,STATFJORD GP        ,Train,"['0.997', '0.003', '0.0']",1,73.84004090884497,0.997,0.003,0.0
43,31/2-7,31/2-7,60.85720300000001,3.452558,A/S Norske Shell,APPRAISAL,1982.0,HEATHER FM          ,Train,"['0.998', '0.002', '0.0']",1,74.20069776160166,0.998,0.002,0.0
44,31/2-8,31/2-8,60.959172,3.497178,A/S Norske Shell,WILDCAT,1982.0,HEGRE GP            ,Train,"['0.999', '0.001', '0.0']",1,74.61284535893532,0.999,0.001,0.0
45,31/2-9,31/2-9,60.881761,3.4676190000000005,A/S Norske Shell,APPRAISAL,1982.0,FENSFJORD FM        ,Train,"['0.998', '0.002', '0.0']",1,74.35512780841053,0.998,0.002,0.0
46,31/3-1,31/3-1,60.779961,3.734278,Den norske stats oljeselskap a.s,WILDCAT,1983.0,HEGRE GP            ,Train,"['1.0', '0.0', '0.0']",1,74.86286423978221,1.0,0.0,0.0
47,31/3-2,31/3-2,60.869836,3.678275,Norsk Hydro Produksjon AS,APPRAISAL,1984.0,DRAKE FM            ,Train,"['1.0', '0.0', '0.0']",1,74.86051998234292,1.0,0.0,0.0
48,31/3-3,31/3-3,60.833969,3.843933,Saga Petroleum ASA,WILDCAT,1984.0,STATFJORD GP        ,Train,"['1.0', '0.0', '0.0']",1,74.9550660649678,1.0,0.0,0.0
49,31/3-4,31/3-4,60.96425,3.688014,Tullow Oil Norge AS,WILDCAT,2014.0,ETIVE FM            ,Train,"['1.0', '0.0', '0.0']",1,74.90960152791249,1.0,0.0,0.0
50,31/4-10,31/4-10,60.62493900000001,3.187808,Norsk Hydro Produksjon AS,APPRAISAL,1995.0,HEATHER FM          ,Train,"['0.951', '0.049', '0.0']",1,58.37731239972982,0.951,0.049,0.0
51,31/4-5,31/4-5,60.55858900000001,3.056992,Norsk Hydro Produksjon AS,WILDCAT,1981.0,HEGRE GP            ,Train,"['0.832', '0.167', '0.0']",1,29.969317529542284,0.832,0.167,0.0
52,31/5-4 S,31/5-4,60.721164,3.561961,Norsk Hydro Produksjon AS,APPRAISAL,1990.0,FENSFJORD FM        ,Train,"['0.998', '0.002', '0.0']",1,74.3025938153357,0.998,0.002,0.0
53,31/6-5,31/6-5,60.61855600000001,3.805828,Den norske stats oljeselskap a.s,APPRAISAL,1984.0,DRAKE FM            ,Train,"['0.999', '0.001', '0.0']",1,74.80338593092793,0.999,0.001,0.0
54,31/6-8,31/6-8,60.555933,3.677519,Norsk Hydro Produksjon AS,APPRAISAL,1985.0,COOK FM             ,Train,"['0.998', '0.002', '0.0']",1,74.18601326776297,0.998,0.002,0.0
55,32/2-1,32/2-1,60.774819,4.333433,Talisman Energy Norge AS,WILDCAT,2008.0,LUNDE FM            ,Train,"['1.0', '0.0', '0.0']",1,74.99896021106893,1.0,0.0,0.0
56,33/5-2,33/5-2,61.663094,1.6215,Norsk Hydro Produksjon AS,WILDCAT,1981.0,LUNDE FM            ,Train,"['0.0', '0.0', '1.0']",3,74.99999956863871,0.0,0.0,1.0
57,33/6-3 S,33/6-3,61.59405,1.952706,Suncor Energy Norge AS,APPRAISAL,2012.0,LUNDE FM            ,Train,"['0.0', '0.0', '1.0']",3,74.99996754656344,0.0,0.0,1.0
58,33/9-1,33/9-1,61.252025,1.840428,Mobil Exploration Norway INC,WILDCAT,1974.0,STATFJORD GP        ,Train,"['0.0', '0.0', '1.0']",3,74.99987459794261,0.0,0.0,1.0
59,33/9-17,33/9-17,61.455161,1.846053,Mobil Exploration Norway INC,WILDCAT,1994.0,NESS FM             ,Train,"['0.0', '0.0', '1.0']",3,74.99997575799603,0.0,0.0,1.0
60,34/10-19,34/10-19,61.18635,2.258486,Den norske stats oljeselskap a.s,APPRAISAL,1983.0,HEGRE GP            ,Train,"['0.0', '0.0', '1.0']",3,74.96101999162659,0.0,0.0,1.0
61,34/10-21,34/10-21,61.125844,2.1484810000000003,Den norske stats oljeselskap a.s,APPRAISAL,1984.0,STATFJORD GP        ,Train,"['0.0', '0.0', '1.0']",3,74.98225700712068,0.0,0.0,1.0
62,34/10-33,34/10-33,61.126233,2.215861,Den norske stats oljeselskap a.s,APPRAISAL,1988.0,STATFJORD GP        ,Train,"['0.0', '0.0', '1.0']",3,74.95917260701889,0.0,0.0,1.0
63,34/10-35,34/10-35,61.071158,2.321325,Den norske stats oljeselskap a.s,WILDCAT,1992.0,STATFJORD GP        ,Train,"['0.0', '0.0', '0.999']",3,74.72526618392475,0.0,0.0,0.999
64,34/11-1,34/11-1,61.07901700000001,2.506317,Den norske stats oljeselskap a.s,WILDCAT,1994.0,STATFJORD GP        ,Train,"['0.006', '0.003', '0.992']",3,71.88702918602291,0.006,0.003,0.992
65,34/11-2 S,34/11-2,61.2259,2.382447,Den norske stats oljeselskap a.s,WILDCAT,1996.0,STATFJORD GP        ,Train,"['0.0', '0.0', '1.0']",3,74.8590615036457,0.0,0.0,1.0
66,34/12-1,34/12-1,61.222189,2.998783,Eni Norge AS,WILDCAT,2008.0,COOK FM             ,Train,"['0.81', '0.014', '0.175']",1,26.1786333819607,0.81,0.014,0.175
67,34/2-4,34/2-4,61.755586,2.660456,Amoco Norway Oil Company,WILDCAT,1985.0,STATFJORD GP        ,Train,"['0.0', '0.0', '1.0']",3,74.90261193493453,0.0,0.0,1.0
68,34/3-1 A,34/3-1,61.812914,2.779767,BG Norge AS,APPRAISAL,2008.0,AMUNDSEN FM         ,Train,"['0.001', '0.0', '0.999']",3,74.64232465732353,0.001,0.0,0.999
69,34/4-10 R,34/4-10,61.625925,2.0751310000000003,Saga Petroleum ASA,WILDCAT,2000.0,STATFJORD GP        ,Train,"['0.0', '0.0', '1.0']",3,74.99988747262941,0.0,0.0,1.0
70,34/5-1 A,34/5-1,61.74310799999999,2.598714,BG Norge AS,APPRAISAL,2010.0,BURTON FM           ,Train,"['0.0', '0.0', '1.0']",3,74.95597764399,0.0,0.0,1.0
71,34/5-1 S,34/5-1,61.74310799999999,2.598714,BG Norge AS,WILDCAT,2010.0,STATFJORD GP        ,Train,"['0.0', '0.0', '1.0']",3,74.95597764399,0.0,0.0,1.0
72,34/7-13,34/7-13,61.40534200000001,2.053469,Saga Petroleum ASA,WILDCAT,1988.0,LUNDE FM            ,Train,"['0.0', '0.0', '1.0']",3,74.99957117756975,0.0,0.0,1.0
73,34/7-20,34/7-20,61.444347,2.03055,Saga Petroleum ASA,WILDCAT,1992.0,LUNDE FM            ,Train,"['0.0', '0.0', '1.0']",3,74.9997615156526,0.0,0.0,1.0
74,34/7-21,34/7-21,61.293567,2.072539,Saga Petroleum ASA,WILDCAT,1992.0,DRAKE FM            ,Train,"['0.0', '0.0', '1.0']",3,74.99859826297264,0.0,0.0,1.0
75,34/8-1,34/8-1,61.364861,2.432658,Norsk Hydro Produksjon AS,WILDCAT,1986.0,LUNDE FM            ,Train,"['0.0', '0.0', '1.0']",3,74.91590492182206,0.0,0.0,1.0
76,34/8-3,34/8-3,61.407789,2.54585,Norsk Hydro Produksjon AS,WILDCAT,1988.0,STATFJORD GP        ,Train,"['0.001', '0.0', '0.999']",3,74.69772000520076,0.001,0.0,0.999
77,34/8-7 R,34/8-7,61.319186,2.5589310000000003,Norsk Hydro Produksjon AS,WILDCAT,1993.0,LUNDE FM            ,Train,"['0.002', '0.0', '0.998']",3,74.2180433643314,0.002,0.0,0.998
78,35/11-1,35/11-1,61.183131,3.662486,Mobil Exploration Norway INC,WILDCAT,1984.0,HEGRE GP            ,Train,"['1.0', '0.0', '0.0']",1,74.93419613621994,1.0,0.0,0.0
79,35/11-10,35/11-10,61.019594,3.523969,Norsk Hydro Produksjon AS,APPRAISAL,1997.0,COOK FM             ,Train,"['0.999', '0.001', '0.0']",1,74.73727704331158,0.999,0.001,0.0
80,35/11-11,35/11-11,61.108728,3.5636330000000003,Norsk Hydro Produksjon AS,APPRAISAL,1998.0,DRAKE FM            ,Train,"['1.0', '0.0', '0.0']",1,74.84220837059523,1.0,0.0,0.0
81,35/11-12,35/11-12,61.128758,3.381572,Norsk Hydro Produksjon AS,WILDCAT,2000.0,HEATHER FM          ,Train,"['0.998', '0.001', '0.0']",1,74.36664295632359,0.998,0.001,0.0
82,35/11-13,35/11-13,61.16225,3.539278,Norsk Hydro Produksjon AS,WILDCAT,2005.0,HEATHER FM          ,Train,"['1.0', '0.0', '0.0']",1,74.82474298630667,1.0,0.0,0.0
83,35/11-15 S,35/11-15,61.113967,3.522206,Norsk Hydro Produksjon AS,WILDCAT,2007.0,HEATHER FM          ,Train,"['0.999', '0.001', '0.0']",1,74.78564907510372,0.999,0.001,0.0
84,35/11-6,35/11-6,61.196061,3.465406,Mobil Exploration Norway INC,APPRAISAL,1992.0,STATFJORD GP        ,Train,"['0.999', '0.001', '0.0']",1,74.69054042227759,0.999,0.001,0.0
85,35/11-7,35/11-7,61.033261,3.590619,Mobil Exploration Norway INC,WILDCAT,1992.0,STATFJORD GP        ,Train,"['1.0', '0.0', '0.0']",1,74.84667947178701,1.0,0.0,0.0
86,35/12-1,35/12-1,61.184461,3.962614,Saga Petroleum ASA,WILDCAT,1992.0,AMUNDSEN FM         ,Train,"['1.0', '0.0', '0.0']",1,74.99373598342632,1.0,0.0,0.0
87,35/3-7 S,35/3-7,61.83534399999999,3.825508,VNG Norge (Operations) AS,WILDCAT,2009.0,HEATHER FM          ,Train,"['1.0', '0.0', '0.0']",1,74.89380598173724,1.0,0.0,0.0
88,35/4-1,35/4-1,61.533486,3.3022940000000003,Norsk Hydro Produksjon AS,WILDCAT,1997.0,HEGRE GP            ,Train,"['0.969', '0.002', '0.029']",1,64.0761225585047,0.969,0.002,0.029
89,35/8-4,35/8-4,61.359153000000006,3.505669,BP Norway Limited U.A.,WILDCAT,1999.0,SOGNEFJORD FM       ,Train,"['0.999', '0.0', '0.0']",1,74.72588539585719,0.999,0.0,0.0
90,35/8-6 S,35/8-6,61.328236,3.338072,Wintershall Norge AS,WILDCAT,2016.0,HEATHER FM          ,Train,"['0.996', '0.002', '0.003']",1,73.44130490713476,0.996,0.002,0.003
91,35/9-10 S,35/9-10,61.25195,3.684472,Wintershall Norge AS,APPRAISAL,2013.0,RANNOCH FM          ,Train,"['1.0', '0.0', '0.0']",1,74.94768369877748,1.0,0.0,0.0
92,35/9-2,35/9-2,61.335728,3.937983,Norsk Hydro Produksjon AS,WILDCAT,1991.0,BASEMENT            ,Train,"['1.0', '0.0', '0.0']",1,74.99308872457897,1.0,0.0,0.0
93,35/9-5,35/9-5,61.324694,3.812553,Nexen Exploration Norge AS,WILDCAT,2010.0,KROSSFJORD FM       ,Train,"['1.0', '0.0', '0.0']",1,74.9812523646138,1.0,0.0,0.0
94,35/9-6 S,35/9-6,61.37119200000001,3.69265,RWE Dea Norge AS,WILDCAT,2010.0,LUNDE FM            ,Train,"['1.0', '0.0', '0.0']",1,74.94893650218667,1.0,0.0,0.0
95,36/7-3,36/7-3,61.425867,4.049892,Norsk Hydro Produksjon AS,WILDCAT,2002.0,HEATHER FM          ,Train,"['1.0', '0.0', '0.0']",1,74.99706846629478,1.0,0.0,0.0
96,7/1-1,7/1-1,57.797778,2.165556,Amoco Norway Oil Company,WILDCAT,1971.0,SKAGERRAK FM        ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
97,7/1-2 S,7/1-2,57.932525,2.069672,StatoilHydro Petroleum AS,WILDCAT,2008.0,BRYNE FM            ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
98,15/9-14,15/9-14,58.289775,1.691128,Den norske stats oljeselskap a.s,WILDCAT,1982.0,SMITH BANK FM       ,Test,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
99,25/10-10,25/10-10,59.18486400000001,2.297417,ExxonMobil Exploration and Production Norway AS,WILDCAT,2010.0,ZECHSTEIN GP        ,Test,"['0.0', '1.0', '0.0']",2,74.999999856658,0.0,1.0,0.0
100,25/11-24,25/11-24,59.103522,2.341036,Norsk Hydro Petroleum AS,WILDCAT,2007.0,STATFJORD GP        ,Test,"['0.0', '1.0', '0.0']",2,74.99999996253871,0.0,1.0,0.0
101,25/5-3,25/5-3,59.585558,2.629706,Elf Petroleum Norge AS,WILDCAT,1990.0,NO GROUP DEFINED    ,Test,"['0.0', '1.0', '0.0']",2,74.9985672787306,0.0,1.0,0.0
102,29/3-1,29/3-1,60.963956,1.937014,Total Norge AS,WILDCAT,1986.0,STATFJORD GP        ,Test,"['0.0', '0.0', '1.0']",3,74.99156423171394,0.0,0.0,1.0
103,34/10-16 R,34/10-16,61.093228,2.179628,Den norske stats oljeselskap a.s,APPRAISAL,1983.0,LUNDE FM            ,Test,"['0.0', '0.0', '1.0']",3,74.96353643450796,0.0,0.0,1.0
104,34/3-3 A,34/3-3,61.795136,2.717883,BG Norge AS,APPRAISAL,2012.0,BURTON FM           ,Test,"['0.0', '0.0', '1.0']",3,74.83453786854402,0.0,0.0,1.0
105,34/6-1 S,34/6-1,61.582317,2.6854720000000003,Norske Conoco A/S,WILDCAT,2002.0,LUNDE FM            ,Test,"['0.001', '0.0', '0.998']",3,74.43003668448341,0.001,0.0,0.998
106,35/6-2 S,35/6-2,61.533606000000006,3.911311,StatoilHydro Petroleum AS,WILDCAT,2009.0,NO FORMAL NAME      ,Test,"['1.0', '0.0', '0.0']",1,74.98919199169745,1.0,0.0,0.0
107,35/9-8,35/9-8,61.28526899999999,3.675594,Wintershall Norge AS,APPRAISAL,2013.0,RANNOCH FM          ,Test,"['1.0', '0.0', '0.0']",1,74.9442700662825,1.0,0.0,0.0
